DIRN GRATING START_TIME STOP_TIME T_LONG N_SHORT
RETR HETG 2003148.17032870 2003148.17060350 154.775 0
INSR LETG 2003153.21071620 2003153.21101250 152.212 12
RETR LETG 2003153.22541890 2003153.22570080 153.237 5
INSR HETG 2003156.02371780 2003156.02395260 154.775 0
RETR HETG 2003157.06092660 2003157.06120140 154.775 0
INSR HETG 2003158.18544690 2003158.18572170 154.775 0
RETR HETG 2003159.16212170 2003159.16235650 154.775 0
INSR LETG 2003161.10414120 2003161.10443750 152.212 12
RETR LETG 2003164.01184030 2003164.01212120 153.237 4
INSR HETG 2003167.05374640 2003167.05402120 154.775 0
RETR HETG 2003168.09594720 2003168.10022190 154.775 0
INSR LETG 2003169.08553350 2003169.08582880 152.212 12
RETR LETG 2003170.17193950 2003170.17222040 153.237 4
INSR HETG 2003171.01591590 2003171.02015070 155.031 0
RETR HETG 2003171.23304800 2003171.23332270 154.775 0
INSR HETG 2003172.02222820 2003172.02250300 154.775 0
RETR HETG 2003172.11070390 2003172.11093870 154.775 0
INSR HETG 2003172.22343300 2003172.22370770 154.775 0
RETR HETG 2003173.07062500 2003173.07085980 154.775 0
INSR HETG 2003174.16032930 2003174.16060410 154.775 0
RETR HETG 2003175.07042470 2003175.07065950 154.775 0
INSR LETG 2003175.07081130 2003175.07110650 152.212 12
RETR LETG 2003176.11003360 2003176.11031460 153.237 4
INSR HETG 2003180.01474810 2003180.01502290 154.775 0
RETR HETG 2003181.01414460 2003181.01441930 154.775 0
INSR LETG 2003182.14281050 2003182.14310680 152.212 12
RETR LETG 2003183.18403110 2003183.18431410 153.237 5
INSR HETG 2003188.12212810 2003188.12240290 154.775 0
RETR HETG 2003188.20110740 2003188.20134220 154.775 0
INSR LETG 2003188.20145290 2003188.20174710 152.212 11
RETR LETG 2003189.04524780 2003189.04552670 153.237 3
INSR HETG 2003196.01133640 2003196.01161220 155.031 0
RETR HETG 2003196.16595830 2003196.17023310 154.775 0
INSR HETG 2003196.23025950 2003196.23053430 154.775 0
RETR HETG 2003199.01453510 2003199.01480990 154.775 0
INSR LETG 2003199.21433430 2003199.21462750 152.212 11
RETR LETG 2003200.02015230 2003200.02043220 153.237 4
INSR HETG 2003201.01540620 2003201.01564200 155.031 0
RETR HETG 2003202.09513630 2003202.09541110 154.775 0
INSR LETG 2003204.00441080 2003204.00471220 152.212 15
RETR LETG 2003205.10184290 2003205.10212490 153.237 5
INSR HETG 2003211.15593550 2003211.16021030 155.031 0
RETR HETG 2003212.06194530 2003212.06222010 154.775 0
INSR HETG 2003215.19235890 2003215.19263370 154.775 0
RETR HETG 2003215.20362800 2003215.20390280 154.775 0
INSR HETG 2003224.20361160 2003224.20384640 154.775 0
RETR HETG 2003225.23073040 2003225.23100520 154.775 0
INSR HETG 2003227.13371140 2003227.13394620 154.775 0
RETR HETG 2003228.16121260 2003228.16144740 154.775 0
INSR HETG 2003236.21260650 2003236.21284130 155.031 0
RETR HETG 2003237.06321680 2003237.06345160 154.775 0
INSR HETG 2003238.08533390 2003238.08560860 154.775 0
RETR HETG 2003239.15400510 2003239.15423990 154.775 0
INSR HETG 2003241.05564810 2003241.05592290 154.775 0
RETR HETG 2003243.10282320 2003243.10305800 154.775 0
INSR HETG 2003251.13242740 2003251.13270220 154.775 0
RETR HETG 2003252.17460970 2003252.17484450 154.775 0
INSR HETG 2003256.14443830 2003256.14471310 154.775 0
RETR HETG 2003257.07564680 2003257.07592150 154.775 0
INSR LETG 2003265.00042410 2003265.00072040 152.212 12
RETR LETG 2003266.09351080 2003266.09375170 153.237 4
